Country,time,value
Montenegro,Apr 12 2018,0.0
Netherlands,Apr 12 2018,7.68382
Norway,Apr 12 2018,13.607301
Poland,Apr 12 2018,13.560036
Portugal,Apr 12 2018,1.195268
Romania,Apr 12 2018,0.0
Russia,Apr 12 2018,8.167726
San Marino,Apr 12 2018,0.116562
Serbia,Apr 12 2018,0.39702
Slovenia,Apr 12 2018,0.77708
Spain,Apr 12 2018,26.349275
Sweden,Apr 12 2018,5.555115
Switzerland,Apr 12 2018,0.738226
Ukraine,Apr 12 2018,8.66316
United Kingdom,Apr 12 2018,1.871616
Albania,Apr 13 2018,0.758707
Armenia,Apr 13 2018,3.675966
Australia,Apr 13 2018,5.920613
Austria,Apr 13 2018,1.451441
Azerbaijan,Apr 13 2018,1.179297
Belarus,Apr 13 2018,30.271894
Belgium,Apr 13 2018,2.564761
Bulgaria,Apr 13 2018,0.0
Croatia,Apr 13 2018,1.154555
Cyprus,Apr 13 2018,5.39718
Czech Republic,Apr 13 2018,5.832514
Denmark,Apr 13 2018,2.721451
Estonia,Apr 13 2018,2.304881
F.Y.R. Macedonia,Apr 13 2018,0.98962
Finland,Apr 13 2018,16.710312
France,Apr 13 2018,10.486051
Georgia,Apr 13 2018,0.31338
Germany,Apr 13 2018,4.956331
Greece,Apr 13 2018,1.418455
Hungary,Apr 13 2018,1.929761
Iceland,Apr 13 2018,0.190343
Ireland,Apr 13 2018,1.797806
Israel,Apr 13 2018,30.980443
Italy,Apr 13 2018,33.295482
Latvia,Apr 13 2018,0.503057
Lithuania,Apr 13 2018,2.32976
Malta,Apr 13 2018,0.923646
Moldova,Apr 13 2018,1.204039
Montenegro,Apr 13 2018,0.0
Netherlands,Apr 13 2018,18.354318
Norway,Apr 13 2018,17.983753
Poland,Apr 13 2018,9.808233
Portugal,Apr 13 2018,1.268488
Romania,Apr 13 2018,0.0
Russia,Apr 13 2018,8.633265
San Marino,Apr 13 2018,0.098962
Serbia,Apr 13 2018,0.479171
Slovenia,Apr 13 2018,0.70098
Spain,Apr 13 2018,26.826654
Sweden,Apr 13 2018,6.124338
Switzerland,Apr 13 2018,0.733968
Ukraine,Apr 13 2018,11.077991
United Kingdom,Apr 13 2018,2.078202
Albania,Apr 14 2018,0.728152
Armenia,Apr 14 2018,4.092015
Australia,Apr 14 2018,7.387814
Austria,Apr 14 2018,1.319776
Azerbaijan,Apr 14 2018,2.038828
Belarus,Apr 14 2018,34.124912
Belgium,Apr 14 2018,4.704115
Bulgaria,Apr 14 2018,0.0
Croatia,Apr 14 2018,1.019413
Cyprus,Apr 14 2018,7.915706
Czech Republic,Apr 14 2018,7.072389
Denmark,Apr 14 2018,2.676303
Estonia,Apr 14 2018,1.820384
F.Y.R. Macedonia,Apr 14 2018,0.910191
Finland,Apr 14 2018,14.438139
France,Apr 14 2018,10.368649
Georgia,Apr 14 2018,0.273057
Germany,Apr 14 2018,4.103093
Greece,Apr 14 2018,4.037349
Hungary,Apr 14 2018,1.738468
Iceland,Apr 14 2018,0.237481
Ireland,Apr 14 2018,2.119124
Israel,Apr 14 2018,30.5815
Italy,Apr 14 2018,59.000595
Latvia,Apr 14 2018,0.582523
Lithuania,Apr 14 2018,2.425377
Malta,Apr 14 2018,0.937498
Moldova,Apr 14 2018,1.4199
Montenegro,Apr 14 2018,0.0
Netherlands,Apr 14 2018,16.594559
Norway,Apr 14 2018,16.930869
Poland,Apr 14 2018,9.666215
Portugal,Apr 14 2018,1.485027
Romania,Apr 14 2018,0.0
Russia,Apr 14 2018,12.333277
San Marino,Apr 14 2018,0.127427
Serbia,Apr 14 2018,0.565327
Slovenia,Apr 14 2018,0.846478
Spain,Apr 14 2018,30.407793
Sweden,Apr 14 2018,6.697726
Switzerland,Apr 14 2018,0.910191
Ukraine,Apr 14 2018,11.999378
United Kingdom,Apr 14 2018,4.659198
Albania,Apr 15 2018,1.42772
Armenia,Apr 15 2018,4.181309
Australia,Apr 15 2018,9.717968
Austria,Apr 15 2018,1.587342
Azerbaijan,Apr 15 2018,1.268101
Belarus,Apr 15 2018,30.643805
Belgium,Apr 15 2018,4.433852
Bulgaria,Apr 15 2018,0.0
Croatia,Apr 15 2018,1.489795
Cyprus,Apr 15 2018,8.449069
Czech Republic,Apr 15 2018,7.84163
Denmark,Apr 15 2018,3.340351
Estonia,Apr 15 2018,1.954408
F.Y.R. Macedonia,Apr 15 2018,1.145972
Finland,Apr 15 2018,16.317382
France,Apr 15 2018,10.815619
Georgia,Apr 15 2018,0.310375
Germany,Apr 15 2018,3.97791
Greece,Apr 15 2018,2.247548
Hungary,Apr 15 2018,1.661256
Iceland,Apr 15 2018,0.204676
Ireland,Apr 15 2018,2.101675
Israel,Apr 15 2018,30.309185
Italy,Apr 15 2018,35.609044
Latvia,Apr 15 2018,0.603014
Lithuania,Apr 15 2018,2.287906
Malta,Apr 15 2018,1.002068
Moldova,Apr 15 2018,3.854032
Montenegro,Apr 15 2018,0.0
Netherlands,Apr 15 2018,16.30614
Norway,Apr 15 2018,15.944402
Poland,Apr 15 2018,7.900378
Portugal,Apr 15 2018,1.676037
Romania,Apr 15 2018,0.0
Russia,Apr 15 2018,18.20266
San Marino,Apr 15 2018,0.133018
Serbia,Apr 15 2018,0.728463
Slovenia,Apr 15 2018,1.055273
Spain,Apr 15 2018,29.84112
Sweden,Apr 15 2018,6.60539
Switzerland,Apr 15 2018,0.736031
Ukraine,Apr 15 2018,11.025116
United Kingdom,Apr 15 2018,3.259977
Albania,Apr 16 2018,1.065786
Armenia,Apr 16 2018,3.186728
Australia,Apr 16 2018,5.768431
Austria,Apr 16 2018,1.446981
Azerbaijan,Apr 16 2018,1.260274
Belarus,Apr 16 2018,26.343552
Belgium,Apr 16 2018,2.307673
Bulgaria,Apr 16 2018,0.0
Croatia,Apr 16 2018,1.680364
Cyprus,Apr 16 2018,5.779022
Czech Republic,Apr 16 2018,5.413938
Denmark,Apr 16 2018,2.750099
Estonia,Apr 16 2018,1.13003
F.Y.R. Macedonia,Apr 16 2018,0.910199
Finland,Apr 16 2018,11.989776
France,Apr 16 2018,9.189749
Georgia,Apr 16 2018,0.210046
Germany,Apr 16 2018,3.383069
Greece,Apr 16 2018,1.905972
Hungary,Apr 16 2018,1.815836
Iceland,Apr 16 2018,0.171749
Ireland,Apr 16 2018,2.16269
Israel,Apr 16 2018,27.638124
Italy,Apr 16 2018,24.450804
Latvia,Apr 16 2018,0.762389
Lithuania,Apr 16 2018,1.431425
Malta,Apr 16 2018,0.529005
Moldova,Apr 16 2018,2.205483
Montenegro,Apr 16 2018,0.0
Netherlands,Apr 16 2018,13.514413
Norway,Apr 16 2018,12.263694
Poland,Apr 16 2018,5.345871
Portugal,Apr 16 2018,0.899406
Romania,Apr 16 2018,0.0
Russia,Apr 16 2018,11.849015
San Marino,Apr 16 2018,0.085574
Serbia,Apr 16 2018,0.45981
Slovenia,Apr 16 2018,0.87908
Spain,Apr 16 2018,23.68175
Sweden,Apr 16 2018,5.361672
Switzerland,Apr 16 2018,0.754609
Ukraine,Apr 16 2018,8.767564
United Kingdom,Apr 16 2018,2.240769
Albania,Apr 17 2018,0.723227
Armenia,Apr 17 2018,2.944817
Australia,Apr 17 2018,5.46274
Austria,Apr 17 2018,1.042069
Azerbaijan,Apr 17 2018,1.207505
Belarus,Apr 17 2018,26.375158
Belgium,Apr 17 2018,1.516443
Bulgaria,Apr 17 2018,0.0
Croatia,Apr 17 2018,1.570879
Cyprus,Apr 17 2018,4.496
Czech Republic,Apr 17 2018,4.574204
Denmark,Apr 17 2018,2.619072
Estonia,Apr 17 2018,1.189827
F.Y.R. Macedonia,Apr 17 2018,0.738781
Finland,Apr 17 2018,11.089508
France,Apr 17 2018,9.062101
Georgia,Apr 17 2018,0.202193
Germany,Apr 17 2018,2.96555
Greece,Apr 17 2018,1.262062
Hungary,Apr 17 2018,1.88195
Iceland,Apr 17 2018,0.124863
Ireland,Apr 17 2018,1.695305
Israel,Apr 17 2018,21.843388
Italy,Apr 17 2018,21.448054
Latvia,Apr 17 2018,0.497706
Lithuania,Apr 17 2018,1.220935
Malta,Apr 17 2018,0.902092
Moldova,Apr 17 2018,1.46201
Montenegro,Apr 17 2018,0.0
Netherlands,Apr 17 2018,8.014876
Norway,Apr 17 2018,11.69087
Poland,Apr 17 2018,5.143315
Portugal,Apr 17 2018,1.086713
Romania,Apr 17 2018,0.0
Russia,Apr 17 2018,8.849816
San Marino,Apr 17 2018,0.06999
Serbia,Apr 17 2018,0.405108
Slovenia,Apr 17 2018,0.715451
Spain,Apr 17 2018,22.79539
Sweden,Apr 17 2018,5.419936
Switzerland,Apr 17 2018,0.598801
Ukraine,Apr 17 2018,7.916756
United Kingdom,Apr 17 2018,1.784013
Albania,Apr 18 2018,0.850794
Armenia,Apr 18 2018,3.116411
Australia,Apr 18 2018,5.187599
Austria,Apr 18 2018,1.449502
Azerbaijan,Apr 18 2018,1.838794
Belarus,Apr 18 2018,26.499575
Belgium,Apr 18 2018,1.622811
Bulgaria,Apr 18 2018,0.0
Croatia,Apr 18 2018,0.929571
Cyprus,Apr 18 2018,4.142022
Czech Republic,Apr 18 2018,4.713104
Denmark,Apr 18 2018,2.569267
Estonia,Apr 18 2018,1.181662
F.Y.R. Macedonia,Apr 18 2018,0.827162
Finland,Apr 18 2018,8.996846
France,Apr 18 2018,9.091795
Georgia,Apr 18 2018,0.102411
Germany,Apr 18 2018,5.581809
Greece,Apr 18 2018,1.654325
Hungary,Apr 18 2018,1.764615
Iceland,Apr 18 2018,0.079054
Ireland,Apr 18 2018,1.457379
Israel,Apr 18 2018,28.123532
Italy,Apr 18 2018,22.573703
Latvia,Apr 18 2018,0.835041
Lithuania,Apr 18 2018,1.095007
Malta,Apr 18 2018,0.787775
Moldova,Apr 18 2018,1.349486
Montenegro,Apr 18 2018,0.0
Netherlands,Apr 18 2018,17.851409
Norway,Apr 18 2018,11.598919
Poland,Apr 18 2018,4.6644
Portugal,Apr 18 2018,0.871168
Romania,Apr 18 2018,0.0
Russia,Apr 18 2018,6.831953
San Marino,Apr 18 2018,0.063022
Serbia,Apr 18 2018,0.43405
Slovenia,Apr 18 2018,0.748385
Spain,Apr 18 2018,31.64277
Sweden,Apr 18 2018,4.862094
Switzerland,Apr 18 2018,0.677485
Ukraine,Apr 18 2018,7.53502
United Kingdom,Apr 18 2018,1.67008
Albania,Apr 19 2018,0.814135
Armenia,Apr 19 2018,3.114229
Australia,Apr 19 2018,4.812091
Austria,Apr 19 2018,1.326366
Azerbaijan,Apr 19 2018,1.463801
Belarus,Apr 19 2018,28.699754
Belgium,Apr 19 2018,2.158425
Bulgaria,Apr 19 2018,0.0
Croatia,Apr 19 2018,1.266433
Cyprus,Apr 19 2018,5.076144
Czech Republic,Apr 19 2018,4.258573
Denmark,Apr 19 2018,2.150163
Estonia,Apr 19 2018,1.365119
F.Y.R. Macedonia,Apr 19 2018,0.91282
Finland,Apr 19 2018,8.11876
France,Apr 19 2018,9.126388
Georgia,Apr 19 2018,0.370062
Germany,Apr 19 2018,4.067788
Greece,Apr 19 2018,1.406236
Hungary,Apr 19 2018,1.784524
Iceland,Apr 19 2018,0.115535
Ireland,Apr 19 2018,1.529588
Israel,Apr 19 2018,36.056355
Italy,Apr 19 2018,26.637855
Latvia,Apr 19 2018,0.370062
Lithuania,Apr 19 2018,1.606461
Malta,Apr 19 2018,0.756573
Moldova,Apr 19 2018,1.414461
Montenegro,Apr 19 2018,0.0
Netherlands,Apr 19 2018,16.864763
Norway,Apr 19 2018,12.659436
Poland,Apr 19 2018,5.749911
Portugal,Apr 19 2018,1.116102
Romania,Apr 19 2018,0.0
Russia,Apr 19 2018,5.68318
San Marino,Apr 19 2018,0.123354
Serbia,Apr 19 2018,0.43663
Slovenia,Apr 19 2018,0.624994
Spain,Apr 19 2018,27.815616
Sweden,Apr 19 2018,5.399901
Switzerland,Apr 19 2018,0.929267
Ukraine,Apr 19 2018,8.102259
United Kingdom,Apr 19 2018,1.537814
Albania,Apr 20 2018,0.577357
Armenia,Apr 20 2018,3.573513
Australia,Apr 20 2018,5.369824
Austria,Apr 20 2018,1.580378
Azerbaijan,Apr 20 2018,1.325484
Belarus,Apr 20 2018,31.793273
Belgium,Apr 20 2018,2.761581
Bulgaria,Apr 20 2018,0.0
Croatia,Apr 20 2018,0.837575
Cyprus,Apr 20 2018,5.69994
Czech Republic,Apr 20 2018,4.693052
Denmark,Apr 20 2018,2.34613
Estonia,Apr 20 2018,1.260431
F.Y.R. Macedonia,Apr 20 2018,0.886367
Finland,Apr 20 2018,9.468267
France,Apr 20 2018,14.00469
Georgia,Apr 20 2018,0.219559
Germany,Apr 20 2018,3.6199
Greece,Apr 20 2018,2.000425
Hungary,Apr 20 2018,2.134344
Iceland,Apr 20 2018,0.171368
Ireland,Apr 20 2018,1.577568
Israel,Apr 20 2018,31.248271
Italy,Apr 20 2018,50.794948
Latvia,Apr 20 2018,0.569227
Lithuania,Apr 20 2018,1.667023
Malta,Apr 20 2018,1.105927
Moldova,Apr 20 2018,1.56944
Montenegro,Apr 20 2018,0.0
Netherlands,Apr 20 2018,13.230296
Norway,Apr 20 2018,15.478616
Poland,Apr 20 2018,5.675647
Portugal,Apr 20 2018,1.275321
Romania,Apr 20 2018,0.0
Russia,Apr 20 2018,7.551274
San Marino,Apr 20 2018,0.195164
Serbia,Apr 20 2018,0.594683
Slovenia,Apr 20 2018,0.861971
Spain,Apr 20 2018,26.985146
Sweden,Apr 20 2018,7.476629
Switzerland,Apr 20 2018,0.731862
Ukraine,Apr 20 2018,8.220729
United Kingdom,Apr 20 2018,2.374772
Albania,Apr 21 2018,0.950275
Armenia,Apr 21 2018,4.413579
Australia,Apr 21 2018,8.507149
Austria,Apr 21 2018,1.348486
Azerbaijan,Apr 21 2018,1.076979
Belarus,Apr 21 2018,39.308653
Belgium,Apr 21 2018,2.362111
Bulgaria,Apr 21 2018,0.0
Croatia,Apr 21 2018,0.995526
Cyprus,Apr 21 2018,6.312278
Czech Republic,Apr 21 2018,6.653399
Denmark,Apr 21 2018,1.927701
Estonia,Apr 21 2018,1.42089
F.Y.R. Macedonia,Apr 21 2018,1.031729
Finland,Apr 21 2018,10.97308
France,Apr 21 2018,16.655945
Georgia,Apr 21 2018,0.262457
Germany,Apr 21 2018,4.192813
Greece,Apr 21 2018,2.316864
Hungary,Apr 21 2018,2.203135
Iceland,Apr 21 2018,0.13623
Ireland,Apr 21 2018,1.891499
Israel,Apr 21 2018,31.539389
Italy,Apr 21 2018,74.85448
Latvia,Apr 21 2018,1.39374
Lithuania,Apr 21 2018,2.574867
Malta,Apr 21 2018,0.751172
Moldova,Apr 21 2018,1.294187
Montenegro,Apr 21 2018,0.0
Netherlands,Apr 21 2018,13.088057
Norway,Apr 21 2018,19.899822
Poland,Apr 21 2018,7.497452
Portugal,Apr 21 2018,2.074451
Romania,Apr 21 2018,0.0
Russia,Apr 21 2018,10.627942
San Marino,Apr 21 2018,0.108603
Serbia,Apr 21 2018,0.625584
Slovenia,Apr 21 2018,0.895974
Spain,Apr 21 2018,32.182241
Sweden,Apr 21 2018,10.217703
Switzerland,Apr 21 2018,0.886924
Ukraine,Apr 21 2018,10.181394
United Kingdom,Apr 21 2018,2.293755
Albania,Apr 22 2018,1.202516
Armenia,Apr 22 2018,4.019617
Australia,Apr 22 2018,7.902461
Austria,Apr 22 2018,1.405884
Azerbaijan,Apr 22 2018,1.193676
Belarus,Apr 22 2018,33.490425
Belgium,Apr 22 2018,2.449243
Bulgaria,Apr 22 2018,0.0
Croatia,Apr 22 2018,1.237884
Cyprus,Apr 22 2018,5.907248
Czech Republic,Apr 22 2018,6.888613
Denmark,Apr 22 2018,2.586477
Estonia,Apr 22 2018,1.565044
F.Y.R. Macedonia,Apr 22 2018,0.919573
Finland,Apr 22 2018,10.347344
France,Apr 22 2018,27.631436
Georgia,Apr 22 2018,0.247577
Germany,Apr 22 2018,4.051965
Greece,Apr 22 2018,1.821462
Hungary,Apr 22 2018,1.901043
Iceland,Apr 22 2018,0.141969
Ireland,Apr 22 2018,2.237034
Israel,Apr 22 2018,31.218542
Italy,Apr 22 2018,50.590489
Latvia,Apr 22 2018,1.883358
Lithuania,Apr 22 2018,2.272409
Malta,Apr 22 2018,0.954942
Moldova,Apr 22 2018,1.603274
Montenegro,Apr 22 2018,0.0
Netherlands,Apr 22 2018,10.724625
Norway,Apr 22 2018,18.419585
Poland,Apr 22 2018,6.49726
Portugal,Apr 22 2018,2.876351
Romania,Apr 22 2018,0.0
Russia,Apr 22 2018,10.009579
San Marino,Apr 22 2018,0.167999
Serbia,Apr 22 2018,0.673197
Slovenia,Apr 22 2018,1.007993
Spain,Apr 22 2018,34.55286
Sweden,Apr 22 2018,8.13385
Switzerland,Apr 22 2018,0.981467
Ukraine,Apr 22 2018,8.853027
United Kingdom,Apr 22 2018,2.143587
Albania,Apr 23 2018,0.71563
Armenia,Apr 23 2018,3.186046
Australia,Apr 23 2018,5.838594
Austria,Apr 23 2018,1.204384
Azerbaijan,Apr 23 2018,1.176468
Belarus,Apr 23 2018,24.880775
Belgium,Apr 23 2018,2.569484
Bulgaria,Apr 23 2018,0.0
Croatia,Apr 23 2018,1.161597
Cyprus,Apr 23 2018,4.431372
Czech Republic,Apr 23 2018,4.737958
Denmark,Apr 23 2018,3.314266
Estonia,Apr 23 2018,1.59953
F.Y.R. Macedonia,Apr 23 2018,0.776232
Finland,Apr 23 2018,6.88856
France,Apr 23 2018,18.735801
Georgia,Apr 23 2018,0.308981
Germany,Apr 23 2018,3.514845
Greece,Apr 23 2018,1.806875
Hungary,Apr 23 2018,2.264401
Iceland,Apr 23 2018,0.179216
Ireland,Apr 23 2018,1.611007
Israel,Apr 23 2018,22.185654
Italy,Apr 23 2018,31.370937
Latvia,Apr 23 2018,1.069368
Lithuania,Apr 23 2018,1.564635
Malta,Apr 23 2018,0.613017
Moldova,Apr 23 2018,1.225891
Montenegro,Apr 23 2018,0.0
Netherlands,Apr 23 2018,6.849062
Norway,Apr 23 2018,13.731079
Poland,Apr 23 2018,4.789207
Portugal,Apr 23 2018,1.344114
Romania,Apr 23 2018,0.0
Russia,Apr 23 2018,4.784346
San Marino,Apr 23 2018,0.137661
Serbia,Apr 23 2018,0.331556
Slovenia,Apr 23 2018,0.719268
Spain,Apr 23 2018,39.659106
Sweden,Apr 23 2018,5.587821
Switzerland,Apr 23 2018,0.722861
Ukraine,Apr 23 2018,6.944454
United Kingdom,Apr 23 2018,1.994083
Albania,Apr 24 2018,0.661081
Armenia,Apr 24 2018,3.672967
Australia,Apr 24 2018,4.490949
Austria,Apr 24 2018,5.384444
Azerbaijan,Apr 24 2018,1.208436
Belarus,Apr 24 2018,24.53282
Belgium,Apr 24 2018,3.253765
Bulgaria,Apr 24 2018,0.0
Croatia,Apr 24 2018,0.799698
Cyprus,Apr 24 2018,4.733876
Czech Republic,Apr 24 2018,5.092722
Denmark,Apr 24 2018,3.319057
Estonia,Apr 24 2018,1.980607
F.Y.R. Macedonia,Apr 24 2018,0.942636
Finland,Apr 24 2018,7.264357
France,Apr 24 2018,19.452313
Georgia,Apr 24 2018,0.254621
Germany,Apr 24 2018,4.835772
Greece,Apr 24 2018,1.880958
Hungary,Apr 24 2018,2.164519
Iceland,Apr 24 2018,0.193556
Ireland,Apr 24 2018,1.687535
Israel,Apr 24 2018,29.02681
Italy,Apr 24 2018,2.798315
Latvia,Apr 24 2018,0.924548
Lithuania,Apr 24 2018,2.259737
Malta,Apr 24 2018,0.617392
Moldova,Apr 24 2018,1.060912
Montenegro,Apr 24 2018,0.0
Netherlands,Apr 24 2018,8.203831
Norway,Apr 24 2018,13.900075
Poland,Apr 24 2018,0.684709
Portugal,Apr 24 2018,1.509021
Romania,Apr 24 2018,0.65042
Russia,Apr 24 2018,5.045078
San Marino,Apr 24 2018,0.043012
Serbia,Apr 24 2018,0.361918
Slovenia,Apr 24 2018,0.741406
Spain,Apr 24 2018,42.713082
Sweden,Apr 24 2018,6.515153
Switzerland,Apr 24 2018,0.688449
Ukraine,Apr 24 2018,7.417687
United Kingdom,Apr 24 2018,1.750521
Albania,Apr 25 2018,0.481761
Armenia,Apr 25 2018,3.080212
Australia,Apr 25 2018,7.697624
Austria,Apr 25 2018,3.117972
Azerbaijan,Apr 25 2018,1.247425
Belarus,Apr 25 2018,24.419142
Belgium,Apr 25 2018,2.201555
Bulgaria,Apr 25 2018,0.0
Croatia,Apr 25 2018,1.027289
Cyprus,Apr 25 2018,3.690314
Czech Republic,Apr 25 2018,4.786687
Denmark,Apr 25 2018,2.883117
Estonia,Apr 25 2018,1.449719
F.Y.R. Macedonia,Apr 25 2018,0.830416
Finland,Apr 25 2018,8.537851
France,Apr 25 2018,14.326812
Georgia,Apr 25 2018,0.19033
Germany,Apr 25 2018,4.336066
Greece,Apr 25 2018,1.938527
Hungary,Apr 25 2018,1.845136
Iceland,Apr 25 2018,0.135753
Ireland,Apr 25 2018,1.713185
Israel,Apr 25 2018,24.28021
Italy,Apr 25 2018,2.614267
Latvia,Apr 25 2018,0.46525
Lithuania,Apr 25 2018,2.047675
Malta,Apr 25 2018,0.785083
Moldova,Apr 25 2018,1.029181
Montenegro,Apr 25 2018,0.0
Netherlands,Apr 25 2018,6.376428
Norway,Apr 25 2018,12.625039
Poland,Apr 25 2018,0.739297
Portugal,Apr 25 2018,1.362775
Romania,Apr 25 2018,0.644711
Russia,Apr 25 2018,5.63245
San Marino,Apr 25 2018,0.007145
Serbia,Apr 25 2018,0.282912
Slovenia,Apr 25 2018,1.515589
Spain,Apr 25 2018,27.300076
Sweden,Apr 25 2018,5.44638
Switzerland,Apr 25 2018,0.978211
Ukraine,Apr 25 2018,7.179032
United Kingdom,Apr 25 2018,1.825757
Albania,Apr 26 2018,0.571109
Armenia,Apr 26 2018,3.298486
Australia,Apr 26 2018,9.041341
Austria,Apr 26 2018,3.585774
Azerbaijan,Apr 26 2018,1.155824
Belarus,Apr 26 2018,26.360964
Belgium,Apr 26 2018,4.427706
Bulgaria,Apr 26 2018,0.0
Croatia,Apr 26 2018,1.286809
Cyprus,Apr 26 2018,5.011029
Czech Republic,Apr 26 2018,5.663345
Denmark,Apr 26 2018,2.726476
Estonia,Apr 26 2018,1.611238
F.Y.R. Macedonia,Apr 26 2018,0.524211
Finland,Apr 26 2018,21.623199
France,Apr 26 2018,14.362174
Georgia,Apr 26 2018,0.158247
Germany,Apr 26 2018,4.308628
Greece,Apr 26 2018,1.887712
Hungary,Apr 26 2018,2.136183
Iceland,Apr 26 2018,0.247881
Ireland,Apr 26 2018,2.288761
Israel,Apr 26 2018,21.204498
Italy,Apr 26 2018,2.24829
Latvia,Apr 26 2018,0.943867
Lithuania,Apr 26 2018,3.513996
Malta,Apr 26 2018,0.779445
Moldova,Apr 26 2018,0.935086
Montenegro,Apr 26 2018,0.0
Netherlands,Apr 26 2018,6.206586
Norway,Apr 26 2018,12.515176
Poland,Apr 26 2018,0.594797
Portugal,Apr 26 2018,1.224856
Romania,Apr 26 2018,0.607257
Russia,Apr 26 2018,6.271856
San Marino,Apr 26 2018,0.021871
Serbia,Apr 26 2018,0.997631
Slovenia,Apr 26 2018,1.321311
Spain,Apr 26 2018,26.502105
Sweden,Apr 26 2018,6.831639
Switzerland,Apr 26 2018,0.617569
Ukraine,Apr 26 2018,6.807499
United Kingdom,Apr 26 2018,2.03563
Albania,Apr 27 2018,0.778329
